,0,1,2
0,-5.133950828258966,18.106457227026763,high
1,19.680847589142907,18.36890686734576,high
2,-42.52457520084775,-2.46935433664704,low
3,-13.977815116074492,-23.83569102880545,low
4,-23.28192119136272,-4.516551447762045,medium
5,-24.5965421124422,-22.766887228774824,high
6,4.4497901774038136,-28.122990220529104,low
7,24.390264255189745,28.893365103886808,low
8,-4.375189153658545,-42.63147472202967,low
9,0.8551031485639684,-12.114550428566787,medium
10,10.142245825129677,-14.040356861273137,medium
11,27.568663415034536,22.91847502934977,low
12,-32.14897594667608,15.809988999733275,low
13,-6.464853006474463,-39.947010252777325,low
14,24.460764235660456,20.162476686314804,high
15,28.053516840093362,2.0577215397295765,medium
16,2.7122357050571675,24.927701136626343,low
17,0.7915258054426078,42.69117937643107,low
18,6.310188763876631,-38.93307422857981,low
19,-19.15325562184092,28.47305608219053,medium
20,20.32381530770967,24.3142733243728,high
21,31.243097323177228,-17.852024275569608,medium
22,31.719111372446694,20.517654222637212,low
23,-46.165155513305265,-6.267712514061006,high
24,-18.951036844948614,26.235403400532128,medium
25,37.596587071273625,-13.816758818705052,high
26,-10.362757466732022,3.5703690414348035,low
27,5.693345773948243,2.643431595006609,medium
28,-4.7087648678564165,-0.24018132905874728,medium
29,-5.267026605418461,18.935731157825565,high
30,-6.773043816602862,-7.0924493142313265,medium
31,19.660456298962323,18.375048217185928,low
32,-29.391112567112344,-24.43527482984633,high
33,28.53966934035941,-2.2309550726292025,medium
34,11.186538815897679,-15.26794144529169,low
35,24.149515724701462,19.034658462062875,high
36,-14.071465287909879,-4.3099513203390645,low
37,-16.85739001833345,2.0905208896557874,low
38,-20.607122639763816,-6.762923557989982,medium
39,-23.324718310784505,-25.98709967383129,high
40,-20.150457715488496,-4.60764420959614,medium
41,32.706107632684564,0.1723912103072784,low
42,-42.56904270358607,-3.4881258255576446,low
43,-28.89343205420988,-25.041951340072117,high
44,9.186782148551687,4.198764541687714,medium
45,-3.9781164335069756,-0.32484731491726915,medium
