,0,1
0,-28.69195576592812,-25.986173931454505
1,-26.22269555766223,-26.570919005704283
2,-29.60636673248488,-25.31350677621477
3,-29.060366136672098,-25.558317690373464
4,-26.32407995799951,-26.645579419442686
5,-26.17339869785176,-26.50672691019021
6,-26.589861994430972,-26.626197991033678
7,-29.004781020292913,-25.569021884508125
8,-30.05695301268388,-25.17157289029774
9,-29.48392066182871,-25.360122252053117
10,-26.869133057717683,-26.585596615866283
11,-29.322287586534266,-25.430415776263455
12,-29.67314398025991,-25.28744784474801
13,-26.524923255894144,-26.66088376167245
14,-26.40292381163989,-26.659020815634598
15,-26.735994677355695,-27.838753671618466
16,-26.257762332205353,-26.55713879100746
17,-26.44574689657641,-26.65673190142315
18,-29.23192105783562,-25.46175126278618
19,-7.365370526283132,-32.524419226468396
20,-7.359260341239679,-31.591577268270434
21,-7.363463411083688,-32.529161808564886
22,-7.366391699006519,-32.5254678083262
23,-7.344227943337667,-31.618007953990286
24,-7.358171173867032,-31.595864836284072
25,-28.054376637992586,-23.698627116325813
26,-28.013600102304483,-23.726266068267254
27,-28.032068012360245,-23.712327417051817
28,-27.46098718058638,-24.063627940787335
29,-25.87138655523666,-26.185575700487377
30,-25.99995078378763,-26.186637273144015
31,-25.9290067881882,-26.25605856943273
32,-26.309671127059982,-26.609359477330507
33,-28.05632325052321,-23.700868086231086
34,-26.419472384915746,-26.648048467672478
35,-26.97059821439615,-27.363773294167476
36,-26.669517996227444,-26.63653156895108
37,-26.349885143023045,-27.54942740355046
38,-30.07413474399176,-25.165357350939377
39,-32.447212997121575,-29.898217613438245
40,-31.982025724669413,-29.888780367825294
41,-32.073878871101705,-29.894862704706796
42,-32.62089513188057,-29.85090940597519
43,-34.91820219045722,-28.09397993670207
44,-31.822800665865998,-29.89022517586973
45,-32.63565825768284,-29.82248795777712
46,-33.44684930469738,-30.92615674855741
47,-34.91966966785407,-28.09229424740968
48,-35.6198956347226,-27.73693089577613
49,-32.64374485079871,-29.794686232524022
50,-35.604178034111456,-27.762462454592384
51,-31.54105608053625,-31.17024838692137
52,-35.139508341666215,-27.99691753936261
53,-31.802221168559164,-29.887724028823953
54,-35.198907796996636,-27.96549753261623
55,-32.41882002397115,-29.91020095081989
56,-34.84893344735212,-28.13258045857272
57,-32.610300703603976,-29.84318843200612
